is_NY,new,in_bib,title,url,location,date,pdf,transcription
29,yes,yes,New Dorp Moravian,NYGBR,"39: 17, 93, 167, 253",,yes,
35,dup,yes,New Dorp Moravian,NYGBR,"40: 33,",,yes,
27,dup,yes,Port Richmond,NYGBR,"36: 177, 267",,yes,
34,dup,yes,Port Richmond,NYGBR,"37: 27, 122, 189, 284",,yes,
28,yes,yes,Rye Christ Church,NYGBR,"37: 4, 146, 257",,yes,
43,dup,yes,Rye Christ Church,NYGBR,"38: 17, 145, 208, 278",,yes,
42,dup,yes,Rye Christ Church,NYGBR,"46: 234, 403",,yes,
41,dup,yes,Rye Christ Church,NYGBR,"47: 14, 128, 297, 395",,yes,
40,dup,yes,Rye Christ Church,NYGBR,"48: 63, 124, 228, 330",,yes,
31,yes,yes,Walpeck Congregational,NYGBR,"40: 193, 264",,yes,
36,dup,yes,Walpeck Congregational,NYGBR,"41: 28, 83, 200, 345",,yes,
33,yes,yes,Warwarsing DRC,NYGBR,"50: 7, 160, 243, 365",,yes,
39,dup,yes,Warwarsing DRC,NYGBR,"51: 27, 138, 233",,yes,
