is_NY,url,title,location,date,pdf,transcription
,https://archive.org/stream/baptismalmarriag00king#page/34/mode/2up,"Baptismal and marriage registers of the old Dutch church of Kingston, Ulster County, New York : Kingston, N.Y. Reformed Dutch church. [from old catalog] : Free Download, Borrow, and Streaming : Internet Archive",archive.org,no date,no,
,https://www.familysearch.org/ark:/61903/3:1:3Q9M-C34Y-8RX5?i=28&cat=142013,"Zions Evangelical Lutheran Church, Cobleskill, Schoharie, New York computer printout; births or christenings, 1795-1871",,,film,
,https://www.familysearch.org/ark:/61903/3:1:3Q9M-C34Y-8RX5?i=28&cat=221384,"Reformed Dutch Church, Middleburg, Schoharie, New York computer printout; births or christenings, 1786-1865",,,film,
,https://www.familysearch.org/ark:/61903/3:1:3Q9M-C34Y-8S5J-8?i=3&cat=165735,Caughnawaga,www.familysearch.org,,film,
,https://www.familysearch.org/ark:/61903/3:1:3Q9M-C34Y-NFZT?i=38&cat=140703,Livingston Lutheran,www.familysearch.org,,film,
,https://www.familysearch.org/ark:/61903/3:1:3Q9M-C34Y-V3LC?i=105&cat=140711,Schoharie Lutheran,www.familysearch.org,,film,
,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CS73-M9YR-X?i=26&cat=89684,Berne Lutheran,www.familysearch.org,,film,
,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CS79-1B43?mode=g&cat=141902,German Flatts DRC,www.familysearch.org,,film,
,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSLL-T3FX-P?i=123&cat=140690,Germantown Lutheran,www.familysearch.org,,film,
,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSLL-T3J5-H?i=38&cat=141933,"Reformed Protestant Dutch Church, Wynantskill, Rensselaer, New York computer printout; births or christenings, 1794-1867",,,film,
,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQ7-G9CC-6?i=36&cat=140754,"The Protestant Presbyterian Congregation, Cambridge, Washington, New York computer printout; births or christenings, 1784-1874",,,film,
,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQY-BQCM-5?i=9&cat=410657,Albany Presbyterian,www.familysearch.org,,film,
,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQY-BQCM-5?i=9&cat=410664,Albany Lutheran ,www.familysearch.org,,film,
,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSQY-BQQ6-R?i=12&cat=410653,Albany Lutheran ,www.familysearch.org,,film,
,https://www.familysearch.org/ark:/61903/3:1:3Q9M-CSTB-4QQN-5?i=53&cat=142021,"Saint Johns Dutch Reformed Church, Saint Johnsville, Montgomery, New York computer printout; births or christenings, 1788-1878",,,film,
,https://www.familysearch.org/library/books/viewer/189550/?offset=0#page=103&viewer=picture&o=&n=0&q=,Baptisms from Reformed Dutch church at Success,www.familysearch.org,no date,,
,https://www.familysearch.org/library/books/viewer/190936/?offset=0#page=101&viewer=picture&o=&n=0&q=,"Baptismal record of the First Reformed Dutch church at Jamaica, Long Island, New York ... 1702 to ..",www.familysearch.org,1702,,
,https://www.familysearch.org/library/books/viewer/198348/?offset=0#page=101&viewer=picture&o=&n=0&q=,"Baptismal record of the Reformed Dutch Church at Oyster Bay, Long Island, New York, 1741-1846",www.familysearch.org,1741,,
,https://www.familysearch.org/library/books/viewer/212125/?offset=0#page=101&viewer=picture&o=&n=0&q=,"Records of the Reformed Dutch church of Oyster Bay, L.I., 1741-1835; the Wolver Hollow Church",www.familysearch.org,1741,,
,https://www.familysearch.org/library/books/viewer/516192/?offset=0#page=20&viewer=picture&o=&n=0&q=,"Records, 1757-1906, Vol. 5 New Hackensack, New York",www.familysearch.org,1757,,
