Column,title,search,details 1,details 2,details 4,notes,from
12,"Presbyterian Church, Pleasant Valley, New York computer printout, births and christenings, 1793-1829",https://familysearch.org/search/catalog/9811,Church of Jesus Christ of Latter-day Saints. Genealogical Department (Main Author),Manuscript/Manuscript on Film,"Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1975","C-50450-1
May circulate to family history centers but not on indefinite loan.   Copies already on indefinite loan may remain.
Extracted from: Records of the Pleasant Valley Presbyterian Church at Pleasant Valley, Dutchess co., N.Y. 974.733/P1 V2b.","Records of the Pleasant Valley Presbyterian Church at Pleasant Valley, Dutchess co., N.Y. 974.733/P1 V2b"
91,"Reformed Dutch Church, Clarkstown Twp., Rockland, New York computer printout; births or christenings, 1795-1849",https://www.familysearch.org/search/catalog/466324?availability=Family%20History%20Library,Church of Jesus Christ of Latter-day Saints. Genealogical Department (Main Author),Manuscript/Manuscript on Film,"Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1975","C-50551-1
Extracted from: Reformed Dutch Church at Clarkstown, Rockland County, New York; births & baptisms 1795-1849. 974.728/C1 V22b.","Reformed Dutch Church at Clarkstown, Rockland County, New York; births & baptisms 1795-1849. 974.728/C1 V22b"
25,"Vital records of Cortlandtown Reformed Church, Montrose, New York, 1741-1894",https://familysearch.org/search/catalog/488866,transcribed and indexed by Arthur C. M. Kelly,Books/Monographs,English,"Includes baptisms, marriages, deaths, census of members and Cortland Manor descendents.
Includes several indexes.",
26,"Vital records of Low Dutch Church of Klyn Esopus, Ulster Park, New York, 1791-1899 [i.e. 1790-1909]",https://familysearch.org/search/catalog/456081,transcribed and indexed by Arthur C. M. Kelly,Books/Monographs,English,"Includes indexes.
Includes records of many persons who resided in the town of Esopus in localities other than Ulster Park.
Contains ministers, 1825-1899; baptisms, 1791-1903, 1909; marriages, 1837-1899; elders and deacons, 1791-1801, 1807-1810, 1815-1860; members including deaths, 1790-1893.",
27,"Vital records of the Round Top Lutheran Church, Bethel, Pine Plains, Dutchess Co., NY : baptisms, 1760-1787; communicants, 1763-1788",https://familysearch.org/search/catalog/740605,edited & indexed by Arthur C.M. Kelly,Books/Monographs,English,"Includes index.
Includes date of ordinance, name of parents, name of child, birthdate, and name of sponsors.",
28,"Vital records of Woodstock Reformed Church, Woodstock, Ulster County, NY, 1804-1950 : [with some births as early as 1746], baptisms 1805-1950, marriages 1828-1950, deaths 1830-1950, members 1804-1949",https://familysearch.org/search/catalog/1235754,transcribed and indexed by Arthur C.M. Kelly,Books/Monographs,English,Includes index.,
29,"Amenia NY Vital records, 1749-1786",https://familysearch.org/search/catalog/380341,Amenia (New York). Town Clerk (Main Author),Manuscript/Manuscript on Film,"Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1941",Microfilm of photostatic copy of original at the New York State Library in Albany.,
30,Baptisms from Reformed Dutch church at Success,https://www.familysearch.org/library/books/viewer/189550/?offset=0#page=103&viewer=picture&o=&n=0&q=,,,,no notes,
31,"Baptismal record of the First Reformed Dutch church at Jamaica, Long Island, New York ... 1702 to ..",https://www.familysearch.org/library/books/viewer/190936/?offset=0#page=101&viewer=picture&o=&n=0&q=,,,,no notes,
32,"Baptismal record of the Reformed Dutch Church at Oyster Bay, Long Island, New York, 1741-1846",https://www.familysearch.org/library/books/viewer/198348/?offset=0#page=101&viewer=picture&o=&n=0&q=,,,,no notes,
33,"Records of the Reformed Dutch church of Oyster Bay, L.I., 1741-1835; the Wolver Hollow Church",https://www.familysearch.org/library/books/viewer/212125/?offset=0#page=101&viewer=picture&o=&n=0&q=,,,,no notes,
34,"Records, 1757-1906, Vol. 5 New Hackensack, New York",https://www.familysearch.org/library/books/viewer/516192/?offset=0#page=20&viewer=picture&o=&n=0&q=,,,,no notes,
35,"Records of the German Reformed Church of The Camp, now Germantown, Columbia County, N.Y. : commencing September 7, 1729 and ending February 5, 1849",https://www.familysearch.org/library/books/viewer/635272/?offset=0#page=3&viewer=picture&o=&n=0&q=,,,,no notes,
36,"Vital records of St. Andrew%27s Episcopal Church, Walden, Orange County, New York, 1793-1906",https://www.familysearch.org/search/catalog/1001311?availability=Family%20History%20Library,"transcribed and indexed by Arthur C.M. Kelly', ""Kelly, Arthur C. M. ",Books/Monographs,"iv, 212 p., 32 p.","Addendum title from cover.
Includes index.
Includes records of baptisms, marriages, deaths, family groups, communicants, and confirmands [sic].",
48,"Baptist Church records of Putnam, Washington County, New York, 1781-1947 : marriage, birth and death records, arranged by families",https://www.familysearch.org/search/catalog/110515?availability=Family%20History%20Library,"Baptist Church (Putnam, New York) (Main Author)",Books/Monographs,"Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1968",Microreproduction of original (75 p.) at the New York State Library.,
55,"Vital records, Reformed Church, Middleburgh, N.Y., 1797-1899",https://www.familysearch.org/search/catalog/124751?availability=Family%20History%20Library,transcribed and indexed by Arthur C. M. Kelly,Books/Monographs,English,"Includes parents index; sponsors index; bride and groom index; witnesses, etc., index; members and deaths index.
Contains baptisms, 1797-1899; marriages, 1827-1899; members, 1799-1889; deaths, 1865-1899; subscription list, 1813.
The Reformed Church, Middleburg, was formerly known as the Reformed Dutch Church in the town of Middleburgh. The present spelling of the name of this locality is Middleburg.",
56,"A Register of births, baptisms, marriages ... deaths and removals in the Presbyterian Church at Schenectady ... 1796-1860",https://www.familysearch.org/search/catalog/131002?availability=Family%20History%20Library,"Presbyterian Church (Schenectady, New York) (Added Author)",Manuscript/Manuscript on Film,"Salt Lake City, Utah : Filmed by the Genealogical Society of Utah, 1968","Microfilm of typescript (114 leaves) at the New York State Library, Albany, New York.
Contains baptisms with birth dates, 1796-1860; marriages, 1796-1850; deaths, 1796-1826; members, 1798-1850; separations from the church by dismissal, suspension, etc., including deaths, 1822-1833.",
57,"Presbyterian births recorded Jamaica, Long Island, New York; Presbyterian marriages at Jamaica, Long Island, New York, 1775-1848",https://www.familysearch.org/search/catalog/167191?availability=Family%20History%20Library,copied by Josephine C. Frost,Manuscript/Manuscript on Film,English,"Microfilm of manuscript (188 p.) at the Long Island Historical Society, Brooklyn, New York.
Includes surname index.",
61,"Reformed Dutch Church at Clarkstown, Rockland County, New York : births & baptisms, 1795-1849",https://www.familysearch.org/search/catalog/277784?availability=Family%20History%20Library,Gertrude Barber,Manuscript/Manuscript with Film,English,"Typescript.
Also available on microfilm",
73,"Vital records of Trinity Lutheran Church, West Sand Lake, N.Y., 1784-1899",https://www.familysearch.org/search/catalog/294294?availability=Family%20History%20Library,transcribed and indexed by Arthur C. M. Kelly,Books/Monographs,English,"Includes indexes.
Contains baptisms 1784-1899, parents index, sponsors index; marriage record 1816-1899, bride and groom index, witnesses/parents index; recorded deaths 1817-1899; communicants/confirmands 1795-1818.
Trinity Lutheran Church was formed from the merger of Zion Lutheran Church, West Sand Lake, and Second Evangelical Lutheran Church, West Sand Lake.",
93,"Names of black babies born to slaves in Vernon, New York",https://www.familysearch.org/search/catalog/530554?availability=Family%20History%20Library,photocopied and typed by Helen Sforza,Manuscript/Typescript Photocopy on Film,English,"Photocopy of ms. (3 leaves made in 1977) and typescript copy (3 leaves).
Includes parents' names for 5 of the 6 children named in the record.",
95,"Vital records of Niskayuna Reformed Church, Schenectady, N.Y., 1783-1861",https://www.familysearch.org/search/catalog/59823?availability=Family%20History%20Library,transcribed and indexed by Arthur C. M. Kelly,Books/Monographs,English,"Transcription made from photocopy of the original records.
Includes parents index, sponsors index, bride and groom index, and church officers and recorded deaths index.
Contains baptism record 1783-1860, marriage record 1835-1861, church officers 1784-1790, recorded deaths 1859-1861.",
96,"Vital records of Wynantskill Reformed Church, Rensselaer County, New York, 1794-1889 — FamilySearch.org",https://www.familysearch.org/search/catalog/655708?availability=Family%20History%20Library,transcribed by Arthur C.M. Kelly,Books/Monographs,English,"Includes indexes of bride and groom, parents, witnesses and sponsors.
Contains baptisms 1794-1889, marriages 1794-1889 and members 1794-1838.",
