,year,source,target
249,1750,Michael  Knappenberger,Catharina  Knappenberger
250,1779,Conrad  Knappenberger,Eva  Knappenberger
251,1776,Abraham  Braus,Maria  Braus
252,1755,Andries  Seubert,Maria Eva Seubert
253,1756,Michael  Nothstein,Anna Margaretha Nothstein
254,1754,Joseph  Albrecht,Susanna  Albrecht
255,1760,Heinrich  Cuntz,Maria Chatarina Cuntz
257,1772,Johannes  Egner,Catharina  Egner
258,1791,Johannes  Kammer,Albertina  Kammer
259,1780,Jacob  Leibelsperger,Eva  Leibelsperger
260,1782,Daniel  Croninger,Anna M Croninger
261,1786,Johannes  Sauerwein,Magdalena  Sauerwein
263,1788,George  Wessels,Eva  Wessels
264,1757,Johannes  Sold,Johannes  Sold
266,1787,George  Trein,Barbara  Trein
268,1773,Antoine  Ligtel,Susanna  Ligtel
269,1776,Daniel  Maurer,Regina  Wagener
270,1785,Jacob  Druckenmiller,Maria  Druckenmiller
271,1787,Andries  Barriger,Magdalena  Barriger
272,1787,Israel  Toddel,Elizabeth  Toddel
273,1787,Andries  Walb,Anna M Walb
274,1789,George  Breinig,Christina  Breinig
275,1795,Sebastian  Druckenmiller,Regina  Reis
277,1778,Jacob  Kigli,Catharina  Kigli
278,1754,Michael  Warmkessel,Catharina  Warmkessel
279,1797,Nicholas  Tepel,Catharina  Tepel
280,1789,Heinrich  Christ,Elizabeth  Christ
281,1762,Philip  Heene,Anna Barbara Fedderolf
282,1762,Stephan  Kreusser,Anna Catharina Kreusser
285,1770,John Nicholaus Seidel,Anna M Seidel
286,1777,Heinrich  Beer,Catharina  Beer
287,1799,Johannes  Reifschneider,Susanna  Reifschneider
288,1785,Andries  Barriger,Magdalena  Barriger
289,1797,George  Mattern,Catharina  Mattern
290,1760,Friedrich  Spiegel,Anna Dorothea Spiegel
291,1796,Johannes A Schwanter,Catharina  Heninger
292,1783,Michael  Keinert,Louisa  Keinert
293,1791,Peter  Bader,Hannah  Bader
295,1783,Johannes  Dieffendorfer,Charlotte  Dieffendorfer
296,1792,Jacob  Schanckweiler,Catharina  Schanckweiler
297,1788,Jacob  Waber,Gertraut  Beer
298,1789,Leonard  Schlaug,Magdalena  Schlaug
299,1792,Peter  Eigner,Barbara  Egner
300,1795,Heinrich  Schmidt,Margriet  Schmidt
301,1794,George  Herbst,Elizabeth  Herbst
302,1783,Baltzer  Schmidt,Barbara  Schmidt
303,1793,Jacob  Kaiser,Anna M Kaiser
304,1798,Johannes  Klohs,Magdalena  Klohs
305,1791,Johannes  Klotz,Elizabeth  Klotz
306,1797,Johannes  Wallie,Maria  Wallie
307,1781,George  Walbert,Rosina  Walbert
308,1780,Jacob  Wagener,Louisa  Huber
309,1758,Dietrich  Kammer,Elizabeth  Kammer
310,1784,Johannes Peter Trexler,Catharina  Grimm
311,1772,Lorence  Kainli,Getraut  Kainli
312,1773,Philip  Bastres,Barbara  Bastres
313,1780,Heinrich  Krestman,Barbara  Krestman
314,1788,Daniel  Maurer,Regina  Wagener
315,1788,Heinrich  Dieffendorfer,Susanna  Dieffendorfer
316,1780,Jacob  Lotz,Eva M Lotz
317,1784,Peter  Schener,Maria  Schener
318,1793,Heinrich  Schanckweiler,Elizabeth  Schanckweiler
319,1756,Friedrich  Schever,Maria Margaretha Schever
320,1792,Jugin  Philips,Maria  Philips
321,1782,Adam  Desch,Gertraut  Desch
322,1770,Johannes  Egner,Catharina  Egner
323,1761,Ludwig  Steitz,Catharina  Steitz
324,1760,Friedrich  Spiegel,Anna Dorothea Spiegel
325,1798,Heinrich  Bernit,Anna  Bernit
326,1798,Moses  Kohn,Ottilia  Fetzer
327,1779,Heinrich  Knappenberger,Margriet  Knappenberger
328,1797,Johannes  Trexler,Hannah  Trexler
329,1795,David  Kraber,Maria  Kraber
330,1755,Jacob  Blessing,Margriet  Blessing
331,1780,Daniel  Croninger,Anna M Croninger
332,1784,Peter  Reigert,Esther  Reigert
333,1769,Jacob  Danner,Christina  Danner
334,1773,Johannes  Trexler,Maria  Trexler
335,1791,George  Fetzer,Margriet  Fetzer
336,1757,Ludwig  Wickert,Maria Catharina Wickert
337,1769,Daniel  Jus,Catharina  Jus
338,1773,Jacob  Schwartz,Margriet  Schwartz
339,1798,Johannes  Hainli,Elizabeth  Hainli
340,1762,Ludwig  Wagener,Maria Catharina Wagener
341,1798,Daniel  Jerret,Catharina  Jerret
342,1790,Philip  Moyer,Susanna  Moyer
343,1791,Heinrich  Meitzler,Gertraut  Meitzler
344,1792,Friedrich  Reiner,Maria A Reiner
345,1792,Valentyn  Kainli,Elizabeth  Kainli
346,1771,Jacob  Waber,Anna M Waber
348,1797,Adam  Reigebach,Catharina  Reigebach
349,1762,Christopher  Hoffman,Anna Elizabeth Hoffman
350,1792,Johannes  Wagener,Anna Margaretha Dormeyer
351,1794,Heinrich  Ludwig,Christina  Ludwig
352,1796,Philip  Schmoyer,Catharina  Schmoyer
353,1797,Peter  Fegli,Elizabeth  Fegli
354,1798,Michael  Miller,Susanna  Miller
355,1764,Lorence  Kainli,Gertraut  Kainli
356,1771,John Wilhelm Herman,Catharina  Herman
357,1779,George  Kraber,Maria  Kraber
358,1780,George  Kerger,Magdalena  Kerger
359,1789,George  Druckenmiller,Magdalena  Druckenmiller
360,1798,Heinrich  Howerter,Barbara  Baster
361,1788,Jacob  Danckel,Christina  Danckel
362,1790,Daniel  Maurer,Regina  Wagener
363,1791,Heinrich  Christ,Elizabeth  Christ
364,1793,Johannes Adam Knappenberger,Catharina  Knappenberger
366,1773,George  Specht,Anna M Specht
367,1794,George J Heusler,Anna M Heusler
368,1780,Jospeh  Eisenhart,Margriet  Eisenhart
369,1783,Peter  Grigere,Maria  Grigere
370,1760,Friedrich  Spiegel,Anna Dorothea Spiegel
371,1773,Valentyn  Schever,Catharina  Schever
372,1798,Adam  Wessels,Maria  Wessels
373,1765,Simon  Heene,Maria Cordula Heene
374,1797,Michael  Reiner,Louisa  Reiner
375,1771,Christian  Rut,Anna M Rut
376,1780,Johannes  Frees,Eva  Frees
377,1784,Peter  Vux,Anna M Vux
378,1788,John N Heene,Anna Elizabeth Heene
379,1795,Heinrich  Wessels,Catharina  Wessels
380,1795,Philip  Desch,Anna Maria Desch
381,1785,Daniel  Schmoyer,Catharina  Schmoyer
382,1787,Christian  Steininger,Magdalena  Steininger
383,1788,George  Herbst,Elizabeth  Herbst
384,1796,George  Druckenmiller,Magdalena  Druckenmiller
385,1781,George  Wessels,Eva  Wessels
386,1763,Adam  Desch,Gertraut  Desch
387,1776,Christian  Rut,Anna  Rut
388,1779,Johannes  Moser,Johanna  Moser
389,1780,Nicholas  Heene,Anna A Heene
390,1788,Daniel  Schmoyer,Catharina  Schmoyer
391,1789,Conrad  Knappenberger,Eva Barbara Knappenberger
392,1790,Mattheus  Saam,Elizabeth  Saam
393,1793,Johannes  Kainli,Elizabeth  Kainli
394,1796,George  Gorr,Magdalena  Gorr
395,1796,Jacob  Desch,Elizabeth  Desch
396,1797,Dewald  Albrecht,Susanna  Albrecht
397,1781,Philip  Schmoyer,Magdalena  Schmoyer
398,1785,Heinrich  Marsteller,Susanna  Marsteller
399,1787,Conrad  Meitzler,Anna M Meitzler
400,1790,Johannes N Heene,Anna A Heene
401,1794,Jacob  Kleyn,Elizabeth  Kleyn
402,1794,Johannes N Heene,Anna A Heene
403,1795,George  Trein,Maria  Trein
404,1798,Adam  Kensel,Philipina  Kensel
405,1794,Peter  Kohn,Magdalena  Kohn
406,1791,Conrad  Haas,Hannah  Haas
407,1784,George  Knopp,Maria  Knopp
408,1787,Jacob  Danckel,Christina  Danckel
409,1798,Jacob  Schanckweiler,Catharina  Schanckweiler
410,1797,Johannes  Dickenschitz,Maria  Dickenschitz
411,1784,Peter  Klock,Margriet  Druckenmiller
412,1770,Heinrich  Portz,Catharina  Portz
413,1772,Conrad  Knappenberger,Eva Barbara Knappenberger
414,1777,Conrad  Knappenberger,Eva  Knappenberger
415,1793,Heinrich  Romig,Esther  Romig
416,1783,Jacob  Schuck,Susanna P Schuck
417,1776,George  Walbert,Rosina  Walbert
418,1777,Lorence  Drescher,Elizabeth  Drescher
419,1787,Conrad  Meitzler,Anna M Meitzler
420,1783,Joseph  Slaug,Catharina  Slaug
421,1784,Harmen  Hartman,Catharina  Hartman
422,1794,Jacob  Hopfer,Maria Margaretha Hopfer
423,1795,Friedrich  Reis,Maria  Reis
424,1798,Jacob  Breinig,Barbara  Breinig
425,1776,Harmen  Fedderman,Elizabeth  Fedderman
426,1788,Heinrich  Knappenberger,Anna M Knappenberger
427,1773,Philip J Beer,Anna M Waber
428,1795,Friedrich  Miller,Susanna  Miller
429,1776,Andries  Eisenhart,Elizabeth  Eisenhart
430,1780,Philip  Maglin,Catharina  Maglin
431,1782,Johannes N Heene,Anna Elizabeth Heene
432,1793,Johannes  Muth,Barbara  Muth
433,1781,Johannes  Trees,Eva  Trees
434,1756,Michael  Kigli,Magdalena  Kigli
435,1773,Conrad  Witmayer,Elizabeth  Witmayer
436,1773,Leonard  Croninger,Elizabeth  Croninger
437,1779,Joseph  Eisenhart,Margriet  Eisenhart
438,1792,Johannes Dietrich Kammer,Rebecca  Kammer
439,1780,Albrecht  Detterer,Susanna  Detterer
440,1786,Heinrich  Kammer,Anna M Kammer
441,1763,Peter  Rodler,Bernhardina Elizabeth Rodler
442,1792,Christian  Heninger,Eva  Heninger
443,1797,Adam  Zangmeister,Lydia  Zangmeister
444,1795,Melchior  Beer,Catharina  Beer
446,1774,George  Walbert,Maria Rosina Walbert
