,year,source,target
67,1802,Jacob  Schreyer,Barbara Anna Margaretha Trautner
68,1802,Jacob  Weber,Elizabeth  Strom
69,1802,Jacob  Kepler,Magdalena Catherine Miller
71,1802,George  Nies,Elizabeth Barbara Nies
72,1802,Johannes  Dunkle,Magdalena Maria Dunkelberger
73,1802,Michael  Presler,Margriet Susanna Schaefer
74,1802,Adam  Ceho,Margriet  Trautner
75,1802,Johannes  Leidig,Christina Catha Leidig
76,1802,George  Hetzler,Cathe Christina Hetzler
77,1802,Johannes  Michel,Judith Rosina Baursohs
78,1802,Hendrick  Vonoedy,Catharina Elizabeth Waldenberger
79,1802,Adam  Huber,Catharina  Frank
80,1802,Anthonius  Rehrig,Barbara Margaretha Klingler
81,1802,Christian  Krebs,Anna Maria Margaretha Krebs
82,1802,Flint  Berner,Barbara Elizabeth Gansert
85,1802,Michael  Kreamer,Christina Margaretha Kreamer
86,1802,Philip  Nies,Catharina  Stober
87,1802,Daniel  Waldenberger,Christina Salome Leidig
89,1802,Jacob  Schaefer,Eva Susanna Schwartz
90,1802,Georg  Brecht,Eva Elizabeth Hennig
92,1803,Antony  Wolf,Maria Catherine Britsch
93,1803,Johannes  Weber,Juliana Margaretha Stober
94,1803,Jacob  Herring,Maria  Danner
96,1803,Geo  Wolf,Caroline Lotz Feller
97,1803,Ludwig  Willgen,Christina  Bayer
98,1803,Michael  Hess,Eva  Weis
99,1803,Geo  Schwartz,Eva Rosina Catherine Pontius
100,1803,Jacob  Hettinger,Margriet  Trautner
101,1803,Peter  Nies,Elizabeth  Mogel
103,1803,Joh Jacob Hosterman,Christina Eva Margaretha Weber
104,1803,Michael  Knoll,Margriet Eliza Kliger
105,1802,Frederick  Kroh,Gertrant  Bayer
107,1803,Georg  Kister,Eva  13
109,1803,George  Weis,Catharina  Herper
110,1803,Nicholas  Vanlotten,Catharina Anna Maria Leidig
111,1803,Joh  Stober,Eva  Weber
112,1803,Jacob  Wnest,Maria Magdalena Bayer
113,1803,Johannes  Kern,Maria Eliza Criechbaum
114,1803,Abraham  Miller,Catharina  Hetzel
115,1803,Philip  Gechel,Catharina  Emmerick
