,year,source,target
37,1756,Johannes Wilhelm Michel,Maria Margaretha Michel
37,1756,Anna Barbara Schonberger,Maria Margaretha Michel
37,1756,Balthaser  Schonberger,Maria Margaretha Michel
1,1756,Adam  Gohn,Maria Sophia Behner
1,1756,Maria Catharina Gohn,Maria Sophia Behner
49,1756,Jacob  Michel,Peter  Bentz
49,1756,Eliesabetha  Michel,Peter  Bentz
30,1756,Johannes  Hahn,Samuel  Schwerdtfeger
30,1756,Eliesabetha Margaretha Hahn,Samuel  Schwerdtfeger
30,1756,Maria Barbara Dellinger,Samuel  Schwerdtfeger
20,1756,Johannes Nicolaus Sen Geipp,Sussana Catharina Dietz
20,1756,Anna Scharlotta Geipp,Sussana Catharina Dietz
20,1756,Conrad  Dietz,Sussana Catharina Dietz
39,1756,Christoph  Schafer,Sybilla Christina Bard
138,1757,Lorentz  Hirschener,Andries  Bausmann
138,1757,Wife Of Lorentz Herschner,Andries  Bausmann
38,1757,Johannes Wilhelm Michel,Anna Barbara Schonberger
26,1757,Johannes  Cron,Anna Christina Attich
26,1757,Anna Maria Cron,Anna Christina Attich
26,1757,Peter  Attich,Anna Christina Attich
34,1757,Johannes  Bayer,Anna Margaretha Bayer
27,1757,Adam  Imenhauser,Anna Margaretha Imenhauser
8,1757,Philip  Muhlhof,Anna Margaretha Lantz
8,1757,Luise Catharina Muhlhof,Anna Margaretha Lantz
8,1757,Philip  Lantz,Anna Margaretha Lantz
43,1757,Mattheus  Demuth,Anna Maria Brehm
26,1757,Johannes  Cron,Anna Maria Cron
33,1757,Michael  Zimermann,Catharina  Paulis
33,1757,Maria Magdalena Zimermann,Catharina  Paulis
33,1757,Michael  Paulis,Catharina  Paulis
139,1757,Lorentz  Hirschener,Gorg  Wambach
139,1757,Wife Of Lorentz Herschner,Gorg  Wambach
140,1757,Lorentz  Hirschener,Heinrich  Lipphard
140,1757,Wife Of Lorentz Herschner,Heinrich  Lipphard
34,1757,Johannes  Bayer,Heinrich  Stoll
34,1757,Anna Margaretha Bayer,Heinrich  Stoll
135,1757,Lorentz  Hirschener,Jacob  Schultz
135,1757,Wife Of Lorentz Herschner,Jacob  Schultz
43,1757,Mattheus  Demuth,Johannes  Demuth
43,1757,Anna Maria Brehm,Johannes  Demuth
43,1757,Johannes Jacob Hester,Johannes  Demuth
136,1757,Lorentz  Hirschener,Johannes  Fischer
136,1757,Wife Of Lorentz Herschner,Johannes  Fischer
38,1757,Johannes Wilhelm Michel,Johannes  Schonberger
38,1757,Anna Barbara Schonberger,Johannes  Schonberger
43,1757,Mattheus  Demuth,Johannes Jacob Hester
43,1757,Anna Maria Brehm,Johannes Jacob Hester
2,1757,Adam  Gohn,Johannes Philipp Gohn
2,1757,Maria Catharina Gohn,Johannes Philipp Gohn
17,1757,Michael  Wallendin,John Jacob Heibele
17,1757,Maria Elizabeth Dietenhofer,John Jacob Heibele
4,1757,Peter  Dritt,Josua  Dellinger
4,1757,Maria Barbara Dellinger,Josua  Dellinger
8,1757,Philip  Muhlhof,Luise Catharina Muhlhof
17,1757,Michael  Wallendin,Luise Sophia Heibele
17,1757,Maria Elizabeth Dietenhofer,Luise Sophia Heibele
17,1757,John Jacob Heibele,Luise Sophia Heibele
4,1757,Peter  Dritt,Maria Barbara Dellinger
2,1757,Adam  Gohn,Maria Barbara Dietz
2,1757,Maria Catharina Gohn,Maria Barbara Dietz
2,1757,Johannes Philipp Gohn,Maria Barbara Dietz
2,1757,Adam  Gohn,Maria Catharina Gohn
17,1757,Michael  Wallendin,Maria Elizabeth Dietenhofer
27,1757,Adam  Imenhauser,Maria Elizabeth Wallendin
27,1757,Anna Margaretha Imenhauser,Maria Elizabeth Wallendin
27,1757,Michael  Wallendin,Maria Elizabeth Wallendin
11,1757,Heinrich  Bannix,Maria Magdalena Paulis
11,1757,Wife Of Heinrich Bannix,Maria Magdalena Paulis
11,1757,Philip  Gohn,Maria Magdalena Paulis
33,1757,Michael  Zimermann,Maria Magdalena Zimermann
4,1757,Peter  Dritt,Maria Margaretha Michel
38,1757,Johannes Wilhelm Michel,Maria Margaretha Michel
4,1757,Maria Barbara Dellinger,Maria Margaretha Michel
38,1757,Anna Barbara Schonberger,Maria Margaretha Michel
4,1757,Josua  Dellinger,Maria Margaretha Michel
38,1757,Johannes  Schonberger,Maria Margaretha Michel
36,1757,William  Bord-Jou,Maria Sophia Behner
36,1757,Rebecca  Bord-Jou,Maria Sophia Behner
36,1757,Veit  Behner,Maria Sophia Behner
33,1757,Michael  Zimermann,Michael  Paulis
33,1757,Maria Magdalena Zimermann,Michael  Paulis
27,1757,Adam  Imenhauser,Michael  Wallendin
27,1757,Anna Margaretha Imenhauser,Michael  Wallendin
26,1757,Johannes  Cron,Peter  Attich
26,1757,Anna Maria Cron,Peter  Attich
137,1757,Lorentz  Hirschener,Peter  Stoll
137,1757,Wife Of Lorentz Herschner,Peter  Stoll
11,1757,Heinrich  Bannix,Philip  Gohn
11,1757,Wife Of Heinrich Bannix,Philip  Gohn
8,1757,Philip  Muhlhof,Philip  Lantz
8,1757,Luise Catharina Muhlhof,Philip  Lantz
36,1757,William  Bord-Jou,Rebecca  Bord-Jou
34,1757,Johannes  Bayer,Sussana  Stoll
34,1757,Anna Margaretha Bayer,Sussana  Stoll
34,1757,Heinrich  Stoll,Sussana  Stoll
36,1757,William  Bord-Jou,Veit  Behner
36,1757,Rebecca  Bord-Jou,Veit  Behner
138,1757,Lorentz  Hirschener,Wife Of Andreas Bausmann
138,1757,Wife Of Lorentz Herschner,Wife Of Andreas Bausmann
138,1757,Andries  Bausmann,Wife Of Andreas Bausmann
139,1757,Lorentz  Hirschener,Wife Of Gorg Wambach
139,1757,Wife Of Lorentz Herschner,Wife Of Gorg Wambach
139,1757,Gorg  Wambach,Wife Of Gorg Wambach
11,1757,Heinrich  Bannix,Wife Of Heinrich Bannix
140,1757,Lorentz  Hirschener,Wife Of Heinrich Lipphard
140,1757,Wife Of Lorentz Herschner,Wife Of Heinrich Lipphard
140,1757,Heinrich  Lipphard,Wife Of Heinrich Lipphard
136,1757,Lorentz  Hirschener,Wife Of Johannes Fischer
136,1757,Wife Of Lorentz Herschner,Wife Of Johannes Fischer
136,1757,Johannes  Fischer,Wife Of Johannes Fischer
135,1757,Lorentz  Hirschener,Wife Of Lorentz Herschner
136,1757,Lorentz  Hirschener,Wife Of Lorentz Herschner
137,1757,Lorentz  Hirschener,Wife Of Lorentz Herschner
138,1757,Lorentz  Hirschener,Wife Of Lorentz Herschner
139,1757,Lorentz  Hirschener,Wife Of Lorentz Herschner
140,1757,Lorentz  Hirschener,Wife Of Lorentz Herschner
137,1757,Lorentz  Hirschener,Wife Of Peder Stoll
137,1757,Wife Of Lorentz Herschner,Wife Of Peder Stoll
137,1757,Peter  Stoll,Wife Of Peder Stoll
56,1758,Melchior  Hermann,Agne  Schneider
31,1758,Johannes  Hahn,Agnes  Legnier
60,1758,Balthaser  Zumwald,Anna  Siegrist
60,1758,Maria Clara Zumwald,Anna  Siegrist
60,1758,Gotfried  Frey,Anna  Siegrist
45,1758,Philip  Bennighof,Anna Catharina Schwerd
45,1758,Maria Elizabeth Schwerd,Anna Catharina Schwerd
45,1758,Joshua  Dellinger,Anna Catharina Schwerd
13,1758,Johannes Nicolaus Deh,Anna Margaretha Abel
48,1758,Balthaser  Schonberger,Anna Margaretha Abel
48,1758,Balthaser  Schonberger,Anna Margaretha Abel
48,1758,Anna Margaretha Abel,Anna Margaretha Abel
48,1758,John Georg Abel,Anna Margaretha Abel
64,1758,Philip  Hebeisen,Anna Margaretha Hebeisen
