,year,source,target
116,1763,John  Kermanne,Wife Of Henry Ditzel
45,1763,Henry  Scheffer,Wife Of Henry Scheffer
105,1763,George  Bauer,Wife Of George Weeber
106,1763,John  Deiss,Wife Of John Deiss
107,1763,Frederick  Hummel,Wife Of Frederick Hummel
108,1763,Caspar,Catharina  Earnest
109,1763,John  Cassel,Wife Of John Cassel
110,1763,Peter  Pfannenkuchen,Wife Of Peter Pfannenkuchen
111,1763,Philip  Fishburn,Wife Of Philip Fishburn
116,1763,Henry  Ditzel,Wife Of Henry Ditzel
28,1764,Antoine  Blessie,Wife Of Anthony Blessie
49,1765,Joseph  Kermanne,Henry  Ditzel
55,1765,Antoine  Blessle,Antoine  Corbin
69,1765,Philip  Fishburn,Peter  Gunther
117,1765,John  Kermanne,Michael  Kermanne
49,1765,Joseph  Kermanne,Wife Of Henry Ditzel
55,1765,Antoine  Blessle,Wife Of Anthony Corbin
69,1765,Philip  Fishburn,Wife Of Peter Gunther
117,1765,John  Kermanne,Rebecca  Genther
117,1765,John  Kermanne,Peter  Genther
49,1765,Henry  Ditzel,Wife Of Henry Ditzel
55,1765,Antoine  Corbin,Wife Of Anthony Corbin
69,1765,Peter  Gunther,Wife Of Peter Gunther
117,1765,Michael  Kermanne,Rebecca  Genther
117,1765,Michael  Kermanne,Peter  Genther
117,1765,Rebecca  Genther,Peter  Genther
75,1766,Antoine  Kermanne,Antoine  Blessing
76,1766,Antoine  Kermanne,John Martin Collmer
89,1766,John  Unschild,John  Goez
112,1766,Henry  Ditzel,Philip  Fishburn
120,1766,John Henry Lampert,John Eberhard Kettering Catharine D
75,1766,Antoine  Kermanne,Wife Of Anthony Blessing
76,1766,Antoine  Kermanne,Wife Of John Martin Collmer
89,1766,John  Unschild,Chrisitan  Schumacher
112,1766,Henry  Ditzel,Wife Of Philip Fishburn
120,1766,John Henry Lampert,Louisa  Ginther
75,1766,Antoine  Blessing,Wife Of Anthony Blessing
76,1766,John Martin Collmer,Wife Of John Martin Collmer
89,1766,John  Goez,Chrisitan  Schumacher
112,1766,Philip  Fishburn,Wife Of Philip Fishburn
120,1766,John Eberhard Kettering Catharine D,Louisa  Ginther
29,1767,Jacob  Albrecht,Mattheus  Stoll
70,1767,Philip  Fishburn,Henry  Ditzel
80,1767,Jacob  Speidel,Frederick  Stoll
118,1767,John  Kermanne,Antoine  Blessing
119,1767,John  Kermanne,Antoine  Kermanne
121,1767,Nicholas  Bass,Michael  Deebler
29,1767,Jacob  Albrecht,Wife Of Matthew Stoll
70,1767,Philip  Fishburn,Wife Of Henry Ditzel
80,1767,Jacob  Speidel,Margriet  Speidel
118,1767,John  Kermanne,Wife Of Anthony Blessing
119,1767,John  Kermanne,Wife Of Anthony Kermanne
121,1767,Nicholas  Bass,Wife Of Michael Deebler
29,1767,Mattheus  Stoll,Wife Of Matthew Stoll
70,1767,Henry  Ditzel,Wife Of Henry Ditzel
80,1767,Frederick  Stoll,Margriet  Speidel
118,1767,Antoine  Blessing,Wife Of Anthony Blessing
119,1767,Antoine  Kermanne,Wife Of Anthony Kermanne
121,1767,Michael  Deebler,Wife Of Michael Deebler
114,1768,Henry  Ditzel,Philip  Fishburn
114,1768,Henry  Ditzel,Wife Of Philip Fishburn
114,1768,Philip  Fishburn,Wife Of Philip Fishburn
81,1770,Jacob  Speidel,Maximilian  Speidel
81,1770,Jacob  Speidel,Margriet  Speidel
81,1770,Maximilian  Speidel,Margriet  Speidel
122,1771,Maximilian Speidel Jr,Frederick  Eberhard
122,1771,Maximilian Speidel Jr,Elizabeth  Eberhard
122,1771,Frederick  Eberhard,Elizabeth  Eberhard
113,1772,Henry  Ditzel,John  Kermanne
113,1772,Henry  Ditzel,Wife Of John Kermanne
113,1772,John  Kermanne,Wife Of John Kermanne
123,1772,Maximilian Speidel Sr,Margriet  Speidel
129,1773,Frederick  Stoll,Margriet Elizabeth Stoll
130,1773,Frederick  Stoll,Margriet Elizabeth Stoll
115,1773,Henry  Ditzel,Jacob  Kettering
124,1773,Maximilian Speidel Jr,Jacob Bettering
129,1773,Frederick  Stoll,Henry
130,1773,Frederick  Stoll,Grandparents
133,1773,Henry  Krieger,Maria  Ditzel
134,1773,Margriet  Fishburn,Henry
115,1773,Henry  Ditzel,Catharina  Weeber
124,1773,Maximilian Speidel Jr,Margriet  Speidel
129,1773,Frederick  Stoll,Maria  Fritz
133,1773,Henry  Krieger,Wife Of Mr Ditzel
134,1773,Margriet  Fishburn,Catharina  Ditzel
129,1773,Margriet Elizabeth Stoll,Henry
130,1773,Margriet Elizabeth Stoll,Grandparents
129,1773,Margriet Elizabeth Stoll,Maria  Fritz
115,1773,Jacob  Kettering,Catharina  Weeber
124,1773,Jacob Bettering,Margriet  Speidel
129,1773,Henry,Maria  Fritz
133,1773,Maria  Ditzel,Wife Of Mr Ditzel
134,1773,Henry,Catharina  Ditzel
131,1774,Frederick  Stoll,Margriet Elizabeth Stoll
131,1774,Frederick  Stoll,Jacob
131,1774,Frederick  Stoll,Margriet  Bethring
131,1774,Margriet Elizabeth Stoll,Jacob
131,1774,Margriet Elizabeth Stoll,Margriet  Bethring
131,1774,Jacob,Margriet  Bethring
135,1775,George  Shupp,Louisa  Shupp
139,1775,Augustine  Stoll,Anna Elizabeth Stoll
135,1775,George  Shupp,John
139,1775,Augustine  Stoll,William  Gross
135,1775,George  Shupp,Catharina  Parthemer
139,1775,Augustine  Stoll,Catharina  Gross
135,1775,Louisa  Shupp,John
139,1775,Anna Elizabeth Stoll,William  Gross
135,1775,Louisa  Shupp,Catharina  Parthemer
139,1775,Anna Elizabeth Stoll,Catharina  Gross
135,1775,John,Catharina  Parthemer
139,1775,William  Gross,Catharina  Gross
140,1776,David  Fromin,Rosina  Fromin
143,1776,William  Crabb,Catharina  Crabb
82,1776,Jacob  Speidel,Peter  Bucks
125,1776,Maximilian Speidel Jr,Peter  Bucks
140,1776,David  Fromin,Maximilian  Jr
143,1776,William  Crabb,Augustus
82,1776,Jacob  Speidel,Margriet  Bucks
125,1776,Maximilian Speidel Jr,Margriet  Bucks
140,1776,David  Fromin,Catharina Barbara Speidel
143,1776,William  Crabb,Anna  Stoll
140,1776,Rosina  Fromin,Maximilian  Jr
143,1776,Catharina  Crabb,Augustus
140,1776,Rosina  Fromin,Catharina Barbara Speidel
143,1776,Catharina  Crabb,Anna  Stoll
82,1776,Peter  Bucks,Margriet  Bucks
125,1776,Peter  Bucks,Margriet  Bucks
140,1776,Maximilian  Jr,Catharina Barbara Speidel
143,1776,Augustus,Anna  Stoll
141,1777,John George Bucks,Elizabeth  Bucks
142,1777,John George Bucks,Elizabeth  Bucks
83,1777,Jacob  Speidel,Max  Speidel
141,1777,John George Bucks,Peter  Sr
142,1777,John George Bucks,John
83,1777,Jacob  Speidel,Caroline  Speidel
141,1777,John George Bucks,Margriet  Bucks
142,1777,John George Bucks,Agnes  Daniels
141,1777,Elizabeth  Bucks,Peter  Sr
142,1777,Elizabeth  Bucks,John
141,1777,Elizabeth  Bucks,Margriet  Bucks
142,1777,Elizabeth  Bucks,Agnes  Daniels
83,1777,Max  Speidel,Caroline  Speidel
141,1777,Peter  Sr,Margriet  Bucks
142,1777,John,Agnes  Daniels
126,1778,Maximilian Speidel Jr,Jacob
126,1778,Maximilian Speidel Jr,Elizabeth  Speidel
126,1778,Jacob,Elizabeth  Speidel
136,1779,George  Shupp,Louisa  Shupp
144,1779,William  Crabb,Catharina  Crabb
146,1779,John  Bucks,Margriet  Bucks
84,1779,Jacob  Speidel,Frederick  Stoll
127,1779,Maximilian Speidel Jr,George  Fry
136,1779,George  Shupp,Christopher
144,1779,William  Crabb,Jacob
146,1779,John  Bucks,Peter  Bucks
84,1779,Jacob  Speidel,Elizabeth  Stoll
127,1779,Maximilian Speidel Jr,Catharina  Fry
136,1779,George  Shupp,Anna Margaret Shupp
144,1779,William  Crabb,Elizabeth  Speidel
146,1779,John  Bucks,Wife Of Peter Bucks
136,1779,Louisa  Shupp,Christopher
144,1779,Catharina  Crabb,Jacob
146,1779,Margriet  Bucks,Peter  Bucks
136,1779,Louisa  Shupp,Anna Margaret Shupp
144,1779,Catharina  Crabb,Elizabeth  Speidel
146,1779,Margriet  Bucks,Wife Of Peter Bucks
84,1779,Frederick  Stoll,Elizabeth  Stoll
127,1779,George  Fry,Catharina  Fry
136,1779,Christopher,Anna Margaret Shupp
144,1779,Jacob,Elizabeth  Speidel
146,1779,Peter  Bucks,Wife Of Peter Bucks
145,1781,William  Crabb,Catharina  Crabb
147,1781,John  Bucks,Margriet  Bucks
128,1781,Maximilian Speidel Jr,Peter
145,1781,William  Crabb,Frederick
147,1781,John  Bucks,Jacob  Book
128,1781,Maximilian Speidel Jr,Margriet  Bucks
145,1781,William  Crabb,Elizabeth  Stoll
147,1781,John  Bucks,Elizabeth  Bauer
145,1781,Catharina  Crabb,Frederick
147,1781,Margriet  Bucks,Jacob  Book
145,1781,Catharina  Crabb,Elizabeth  Stoll
147,1781,Margriet  Bucks,Elizabeth  Bauer
128,1781,Peter,Margriet  Bucks
145,1781,Frederick,Elizabeth  Stoll
147,1781,Jacob  Book,Elizabeth  Bauer
138,1782,George  Shupp,Louisa  Shupp
150,1782,John  Blessing,Catharina  Blessing
138,1782,George  Shupp,Christopher
150,1782,John  Blessing,Antoine  Blessing
138,1782,George  Shupp,Rosina  Shupp
150,1782,John  Blessing,Margriet  Kruger
138,1782,Louisa  Shupp,Christopher
150,1782,Catharina  Blessing,Antoine  Blessing
138,1782,Louisa  Shupp,Rosina  Shupp
