,year,density,clustering,preferential_edges,jacc_edges
59,1725,0.019042258805872146,0.66,0.0,0.02
60,1726,0.020995159293031633,0.71,0.0,0.01
61,1727,0.021674458138546536,0.718,0.0,0.0
62,1728,0.021956856702619414,0.746,0.0,0.01
63,1729,0.02402644521486737,0.685,0.0,0.01
64,1730,0.024334476563775926,0.705,0.0,0.01
65,1731,0.026558568632932624,0.708,0.0,0.01
66,1732,0.029401862866120527,0.663,0.01,0.02
67,1733,0.027680680207841285,0.677,0.01,0.01
68,1734,0.028668464688842273,0.712,0.0,0.0
69,1735,0.027752584799564665,0.67,0.0,0.0
70,1736,0.026799007444168736,0.675,0.0,0.0
71,1737,0.025386996904024767,0.691,0.01,0.0
72,1738,0.026275007044237814,0.645,0.0,0.0
73,1739,0.02594434735851593,0.64,0.01,0.0
74,1740,0.024585876198779423,0.621,0.0,0.01
75,1741,0.02350134510938531,0.61,0.0,0.03
76,1742,0.023704380488300085,0.617,0.0,0.01
77,1743,0.022940210566985416,0.627,0.0,0.0
78,1744,0.023329744141926883,0.653,0.01,0.01
79,1745,0.022582061161781204,0.619,0.0,0.01
80,1746,0.02259057542031731,0.652,0.0,0.01
81,1747,0.022993311036789296,0.623,0.01,0.01
82,1748,0.022982036489845693,0.604,0.0,0.01
83,1749,0.023481587757054043,0.595,0.03,0.01
84,1750,0.024029850746268656,0.62,0.0,0.0
85,1751,0.023821927539663747,0.582,0.0,0.04
86,1752,0.02427860696517413,0.592,0.0,0.0
87,1753,0.02522239665096808,0.566,0.0,0.02
88,1754,0.027262355131207592,0.56,0.0,0.0
89,1755,0.02596070811744387,0.576,0.0,0.01
90,1756,0.025737117663268118,0.589,0.0,0.0
91,1757,0.025980819529206625,0.608,0.0,0.0
92,1758,0.024728487886382624,0.616,0.0,0.04
93,1759,0.02220364176885916,0.597,0.0,0.03
94,1760,0.02196400091136933,0.627,0.0,0.01
95,1761,0.02183203270159792,0.663,0.0,0.0
96,1762,0.020908498152575526,0.646,0.02,0.03
97,1763,0.020159172625540338,0.605,0.0,0.01
98,1764,0.020317460317460317,0.588,0.0,0.0
99,1765,0.020194144477798135,0.603,0.0,0.04
100,1766,0.019595222770507046,0.657,0.0,0.07
101,1767,0.020596645799520828,0.652,0.0,0.0
102,1768,0.020739932166387275,0.657,0.0,0.02
103,1769,0.0197258783117369,0.615,0.0,0.01
104,1770,0.019319547207993424,0.591,0.0,0.01
105,1771,0.018513643941388085,0.62,0.0,0.03
106,1772,0.01863922241280732,0.648,0.0,0.03
107,1773,0.01781021897810219,0.626,0.0,0.0
108,1774,0.017344348778181456,0.643,0.0,0.03
109,1775,0.017277174561508173,0.648,0.0,0.0
110,1776,0.01708798192345714,0.616,0.0,0.02
111,1777,0.016833852184941774,0.652,0.0,0.0
112,1778,0.01665551839464883,0.642,0.0,0.0
113,1779,0.017229447559957044,0.636,0.01,0.01
114,1780,0.01804915514592934,0.605,0.0,0.01
115,1781,0.01844012154897021,0.598,0.0,0.01
116,1782,0.01838529176658673,0.637,0.0,0.03
117,1783,0.017921146953405017,0.619,0.0,0.05
118,1784,0.01844472846653134,0.646,0.0,0.06
119,1785,0.017953929539295393,0.668,0.01,0.03
120,1786,0.01915650791247066,0.67,0.0,0.05
121,1787,0.019790665662415916,0.69,0.0,0.09
122,1788,0.02014886098789565,0.683,0.0,0.03
123,1789,0.02018024569514064,0.664,0.0,0.01
124,1790,0.01978953122864562,0.684,0.0,0.0
