from,to
Deussen,Deusen
Devenpoort,Davenport
Devenport,Davenport
Devis,Davis
Devoe,De Voe
de Voe,De Voe
Devoir,Devoor
Devoort,Der Voort
Devou,De Voe
de Vouw,De Voe
Dewett,De Witt
de Widt,De Witt
de Widtt,De Witt
Dewit,De Witt
de Wit,De Witt
Dewith,De Witt
Dewitt,De Witt
de Witt,De Witt
Deyckman,Dyckman
Dey,Day
Deyes,Deys
Deyk,Dyck
Dice,Dys
Dickinson,Dickenson
Dickman,Dyckman
Didderik,Diederich
Diderick,Diderix
Didericke,Diderix
Didericks,Dirckse
Diderickse,Dirckse
Diderickx,Diderix
Didericx,Diderix
Diderik,Diederich
Diderikx,Dirckse
Didirik,Diederich
Didrickx,Dirckse
diederich,Diederich
Diederick,Diederich
Diedericks,Dirckse
Diederik,Diederich
Diederikx,Dirckse
Diederix,Diderix
Diedricks,Dirckse
Diedrikx,Dirckse
Dielend,Deland
Dien,Dean
Diepenbroeek,Diepenbroeck
Dierckse Braeck,Dirckse Braack
Dies,Dys
Dieterich,Diederich
Dietterich,Diederich
Dieven,Devin
Dikeman,Dyckman
Dikson,Dickson
Dingemans,Dingenman
Dinniston,Daniston
Dircks Braack,Dirckse Braack
Dircks,Dirckse
Dirckse Braeck,Dirckse Braack
Dircksxen,Dirckszen
Dirckx Braack,Dirckse Braack
Dirckx,Dirckse
Dircxen,Dirckszen
Dircxszen,Dirckszen
Dirksz,Dirks
Dirkx,Dirckse
Diselton,Disselton
Disoort,Ditsoort
Disseltoun,Disselton
Ditmar,Ditmarse
Ditmars,Ditmarse
Ditmarsen,Ditmarse
Ditmarsse,Ditmarse
Ditscoort,Ditsoort
Dixon,Dickson
Dobbs,Dobs
Dobsen,Dobson
Dobzon,Dobson
Doff,Duff
Dolsein,Dalsen
Dolsen,Dalsen
Donaldson,Donald
Donnelly,Donnely
Doony,Donny
Dopse,Dobs
Dopsen,Dobson
Dopson,Dobson
Dopzen,Dobson
Dorje,Durje
Dorlant,Dorland
dorner,Dorner
Douten,Deutum
Douvepach,Douvebag
Dover,Devoor
Doyman,Du mon
Drets,Drats
Drinckwater,Drinkwater
Drumbauer,Trompoor
Duboeis,Dubois
Duboeys,Dubois
Du Chesne,du Chesne
Dudloos,Diedeloos
Duerse,Deurse
Duersen,Deurse
Dufooir,Devoor
Dufoor,Devoor
Dufourt,Der Voort
Duiere,Durie
Duin,Duyn
Duiser,Duyser
Duitser,Duytser
Dumond,Du mon
Dumon,Du mon
Dumont,Du mon
Dupre,Dupree
Duprie,Dupree
Dupriee,Dupree
Dupuy,Depuy
Durburow,Durborow
Durje,Durie
Durjee,Durje
Durrie,Durie
Dursen,Deurse
Duryea,Durie
Duryee,Durie
Dusenburg,Doesenburg
Du Toict,De Toict
Du Toiet,De Toict
Dutout,Dutoiet
Dutscher,Duytser
Dutser,Duytser
Duursen,Deurse
Duurzen,Deurse
Duvoort,Der Voort
Duyckink,Duycking
Duyking,Duycking
Duykingk,Duycking
Duykink,Duycking
Duyne,Duyn
Duyscher,Duytser
Duysert,Duytser
Duythser,Duytser
Duytszen,Duytsen
Duytzer,Duytser
Duyvelandt,Duyvelant
Duyvelt,Duyvelant
dVeer,der Veer
Dwait,David
Dwiet,David
Dy,Day
Dyk,Dyck
Dyke,Dyck
Dykman,Dyckman
Dyne,Duyn
Ebberts,Ebbertse
Ebbertson,Ebbertse
Ebbertze,Ebbertse
Ebel,Abeel
Eckelaer,Eckler
Ecker,Acker
Eckersen,Eckerson
Eckesen,Eckeson
Eckesson,Eckeson
Eckins,Eagans
Eckker,Ecker
Ecklaar,Eckler
Ecklaer,Eckler
Ecklor,Eckler
Edsall,Edsal
Edwards,Edward
Edzal,Edsal
Eekelaer,Eckler
Eeklaer,Eckler
Eemett,Eemet
Eengel,Engel
Eerle,Erle
Eerrel,Erle
Eeuwits,Hewitts
Egbertse,Egbartse
Egberts,Egbartse
Egbertson,Egbersen
Egbertze,Egbartse
Eghbertse,Egbartse
Eght,Echt
Egler,Eckler
Egmont,Egmond
Eiddo,Iddo
Eikley,Oakley
Eiveren,Iveren
Ekelaer,Eckler
Ekelair,Eckler
Ekelar,Eckler
Eker,Ecker
Ekker,Ecker
Ekkerse,Eckers
Elberts,Alberts
Elbertse,Alberts
Elberts Stoothof,Elbertsz Stoothoff
Elberts Stoothoff,Elbertsz Stoothoff
Elberts Stoothof of Flushing,Elbertsz Stoothoff
Elbertszen,Albertszen
Elbertsz Stoothoff,Elbertsz Stoothoff
Elbertsz Stothof,Elbertsz Stoothoff
Elbertze,Alberts
Elbertze Stoothof,Elbertsz Stoothoff
Elbertz Stoothof,Elbertsz Stoothoff
Elbertz Stoothoff,Elbertsz Stoothoff
Eldersen,Elderse
Elderszen,Eldertszen
Elderts,Elderse
Elizen,Elson
Ellen,Allen
Ellesse,Ellessen
Ellesson,Ellessen
Ellin,Allen
Elner,Alner
Elren,Elting
Elsewaart,Elsworth
Elsewaarth,Elsworth
Elsewaerdt,Elsworth
Elsewaert,Elsworth
Elsewart,Elsworth
Elsewarth,Elsworth
Elseworth,Elsworth
Elswaart,Elsworth
Elswaerdt,Elsworth
Elswaert,Elsworth
Elswart,Elsworth
Elswarth,Elsworth
Elsword,Elsworth
Elswort,Elsworth
Elten,Elting
Eltinge,Elting
Eltings,Elting
Elzewaart,Elsworth
Elzeworth,Elsworth
Elzwarth,Elsworth
Emanuels,Emanuel
Emerich,Emmerich
Emmans,Emans
Emmitz,Emets
Emons,Emans
Emony,Emmin
Emrich,Emmerich
Emrigh,Emmerich
Enderson,Enders
Endries,Enderies
Ennens,Enniss
Ennes,Enniss
Enness,Enniss
Ennest,Enniss
Ennis,Enniss
Eoff,Oeff
Epps,Eps
eps,Eps
Erhart,Erhard
Erll,Erle
Ernst,Ernest
Errel,Erle
Erscher,Archer
Escamp,Eschamp
Escot,Escott
Esmy,Esmay
Es,Ness
Esselsteyn,Aalstein
Eston,Asten
Etsal,Edsal
Etsel,Edsal
Etteen,Etten
Ette,Etten
Ettem,Etten
Euwits,Hewitts
Evere,Ever
Everen,Iveren
Eversen,Everson
Evers,Everse
Evertse,Everse
Evertsen,Evertszen
Everts,Everse
Evertson,Evertszen
Evets,Hewitts
Evveren,Iveren
Ewitse,Hewitts
Ewits,Hewitts
Ewoutse,Hewitts
Ewouts,Hewitts
Ewoutze,Hewitts
Exceen,Eckeson
Exeen,Eckeson
Exon,Eckeson
Eyderstyn,Eydersteyn
Eykelaer,Eckler
Ezelaar,Ezelar
Ezelor,Ezelar
Faderley,Fatherly
Falckenberg,Valkenburg
Farmington,Farrington
Fatherley,Fatherly
Fauce,Fousy
Fausee,Fousy
Fause,Fousy
Fausuur,Fausur
Fedder,Vedder
Fehr,Fiero
Fell,Viele
Fenix,Phoenix
Ferbes,Forbes
Fernande,Fernando
Fetchet,Fichett
Fetherly,Fatherly
Fidet,Vidette
Fiere,Fiero
Filkins,Filkens
Filly,Viele
Fire,Fieri
Firo,Fiero
Flagg,Flag
Flaming,Fleming
Flansberg,Flansburgh
Flansburg,Flansburgh
Flensburg,Flansburgh
Flimminge,Fleming
Flimming,Fleming
Focie,Fousy
Folleman,Volleman
Fonk,Vonck
Fooreest,Foreest
Forbosch,Forbes
Forbos,Forbes
Forbusch,Forbes
Forbus,Forbes
Forbush,Forbes
Forest,Foreest
Foseur,Fosuer
Foshe,Fousy
Foshie,Fousy
Fosie,Fousy
Fosuur,Fosuer
Fougeres,Faugeres
Fousee,Fousy
Fouseer,Fosuer
Fouse,Fousy
Fouseur,Fosuer
Fousie,Fousy
Fraeligh,Freiligh
Fraligh,Freiligh
Francis,Fraunces
Francyn,Franszen
Francys,Fraunces
Fransen,Franse
Frans,Franse
Fransiske,Francisco
Fransze,Franz
Fransz,Franz
Frauncis,Fraunces
Fredenburg,Vredenburgh
Fredendall,Fredendal
Frederick,Fredericksz
Fredericks,Fredericksz
