,congregation,year,modularity,count
382,sleepyhollow-drc,1720,14,0
383,sleepyhollow-drc,1720,15,0
384,sleepyhollow-drc,1721,0,33
385,sleepyhollow-drc,1721,1,14
386,sleepyhollow-drc,1721,2,27
387,sleepyhollow-drc,1721,3,50
388,sleepyhollow-drc,1721,4,60
389,sleepyhollow-drc,1721,5,60
390,sleepyhollow-drc,1721,6,31
391,sleepyhollow-drc,1721,7,52
392,sleepyhollow-drc,1721,8,49
393,sleepyhollow-drc,1721,9,14
394,sleepyhollow-drc,1721,10,33
395,sleepyhollow-drc,1721,11,37
396,sleepyhollow-drc,1721,12,0
397,sleepyhollow-drc,1721,13,22
398,sleepyhollow-drc,1721,14,1
399,sleepyhollow-drc,1721,15,0
400,sleepyhollow-drc,1722,0,35
401,sleepyhollow-drc,1722,1,14
402,sleepyhollow-drc,1722,2,27
403,sleepyhollow-drc,1722,3,50
404,sleepyhollow-drc,1722,4,58
405,sleepyhollow-drc,1722,5,60
406,sleepyhollow-drc,1722,6,31
407,sleepyhollow-drc,1722,7,54
408,sleepyhollow-drc,1722,8,51
409,sleepyhollow-drc,1722,9,14
410,sleepyhollow-drc,1722,10,35
411,sleepyhollow-drc,1722,11,38
412,sleepyhollow-drc,1722,12,0
413,sleepyhollow-drc,1722,13,22
414,sleepyhollow-drc,1722,14,1
415,sleepyhollow-drc,1722,15,0
416,sleepyhollow-drc,1723,0,36
417,sleepyhollow-drc,1723,1,19
418,sleepyhollow-drc,1723,2,26
419,sleepyhollow-drc,1723,3,45
420,sleepyhollow-drc,1723,4,60
421,sleepyhollow-drc,1723,5,58
422,sleepyhollow-drc,1723,6,30
423,sleepyhollow-drc,1723,7,53
424,sleepyhollow-drc,1723,8,51
425,sleepyhollow-drc,1723,9,15
426,sleepyhollow-drc,1723,10,37
427,sleepyhollow-drc,1723,11,42
428,sleepyhollow-drc,1723,12,0
429,sleepyhollow-drc,1723,13,25
430,sleepyhollow-drc,1723,14,6
431,sleepyhollow-drc,1723,15,0
432,sleepyhollow-drc,1724,0,37
433,sleepyhollow-drc,1724,1,21
434,sleepyhollow-drc,1724,2,27
435,sleepyhollow-drc,1724,3,45
436,sleepyhollow-drc,1724,4,61
437,sleepyhollow-drc,1724,5,58
438,sleepyhollow-drc,1724,6,31
439,sleepyhollow-drc,1724,7,54
440,sleepyhollow-drc,1724,8,52
441,sleepyhollow-drc,1724,9,15
442,sleepyhollow-drc,1724,10,40
443,sleepyhollow-drc,1724,11,44
444,sleepyhollow-drc,1724,12,0
445,sleepyhollow-drc,1724,13,25
446,sleepyhollow-drc,1724,14,12
447,sleepyhollow-drc,1724,15,0
448,sleepyhollow-drc,1725,0,43
449,sleepyhollow-drc,1725,1,25
450,sleepyhollow-drc,1725,2,26
451,sleepyhollow-drc,1725,3,45
452,sleepyhollow-drc,1725,4,63
453,sleepyhollow-drc,1725,5,58
454,sleepyhollow-drc,1725,6,31
455,sleepyhollow-drc,1725,7,65
456,sleepyhollow-drc,1725,8,55
457,sleepyhollow-drc,1725,9,15
