,year,year_count,congregation,denomination,density,clustering,preferential_edges,jacc_edges,gender_assort,male_bridges,female_bridges,male,female,nodes,bridge_pct,network_pct
51,1748,52,sleepyhollow-drc,dutch reformed,0.010201922751430215,0.609,0.0,0.01,-0.13761823677387544,28,4,335,353,688,0.14285714285714285,1.0537313432835822
52,1749,53,sleepyhollow-drc,dutch reformed,0.010204260005418965,0.556,0.0,0.0,-0.13094091897286955,31,4,333,344,677,0.12903225806451613,1.033033033033033
53,1750,54,sleepyhollow-drc,dutch reformed,0.010108718096041799,0.564,0.0,0.01,-0.12753544321018534,33,4,332,336,668,0.12121212121212122,1.0120481927710843
54,1751,55,sleepyhollow-drc,dutch reformed,0.009746692138965542,0.574,0.02,0.0,-0.12485441647476113,43,4,337,336,673,0.09302325581395349,0.9970326409495549
55,1752,56,sleepyhollow-drc,dutch reformed,0.009628485370443786,0.56,0.01,0.0,-0.11750324457282209,52,3,335,328,663,0.057692307692307696,0.9791044776119403
56,1753,57,sleepyhollow-drc,dutch reformed,0.009419948718183106,0.549,0.0,0.01,-0.11240801068090785,53,3,338,324,662,0.05660377358490566,0.9585798816568047
57,1754,58,sleepyhollow-drc,dutch reformed,0.009368258859784283,0.549,0.0,0.0,-0.1017506332209909,55,4,338,312,650,0.07272727272727272,0.9230769230769231
58,1755,59,sleepyhollow-drc,dutch reformed,0.009168297596432212,0.526,0.0,0.0,-0.09195820323587854,57,4,341,306,647,0.07017543859649122,0.8973607038123167
59,1756,60,sleepyhollow-drc,dutch reformed,0.009001660083576621,0.53,0.01,0.01,-0.08751173341677097,54,6,344,304,648,0.1111111111111111,0.8837209302325582
60,1757,61,sleepyhollow-drc,dutch reformed,0.008782322798495305,0.518,0.01,0.0,-0.08139843646275098,59,8,340,297,637,0.13559322033898305,0.8735294117647059
61,1758,62,sleepyhollow-drc,dutch reformed,0.008676846109750377,0.49,0.0,0.0,-0.07053687585065159,65,7,341,279,620,0.1076923076923077,0.8181818181818182
62,1759,63,sleepyhollow-drc,dutch reformed,0.008543971573932004,0.483,0.0,0.0,-0.05917804727536158,68,4,342,268,610,0.058823529411764705,0.783625730994152
63,1760,64,sleepyhollow-drc,dutch reformed,0.007742308247869421,0.514,0.0,0.0,-0.07399368546985266,60,3,348,297,645,0.05,0.853448275862069
64,1761,65,sleepyhollow-drc,dutch reformed,0.007333649438912597,0.524,0.01,0.01,-0.0777925481347522,65,4,353,313,666,0.06153846153846154,0.886685552407932
65,1762,66,sleepyhollow-drc,dutch reformed,0.007366753675568346,0.524,0.0,0.03,-0.08568220379727598,64,5,354,316,670,0.078125,0.8926553672316384
66,1763,67,sleepyhollow-drc,dutch reformed,0.007378807378807379,0.5,0.0,0.01,-0.07658511630706263,60,6,353,313,666,0.1,0.886685552407932
67,1764,68,sleepyhollow-drc,dutch reformed,0.007316737725209737,0.519,0.0,0.0,-0.07922250682995863,65,8,353,308,661,0.12307692307692308,0.8725212464589235
68,1765,69,sleepyhollow-drc,dutch reformed,0.007405475880052151,0.465,0.0,0.0,-0.07358405292403096,72,8,356,294,650,0.1111111111111111,0.8258426966292135
69,1766,70,sleepyhollow-drc,dutch reformed,0.007745258257812113,0.448,0.04,0.01,-0.07592071208009137,73,7,349,287,636,0.0958904109589041,0.8223495702005731
70,1767,71,sleepyhollow-drc,dutch reformed,0.007625858151286561,0.476,0.0,0.03,-0.08110499113842091,65,10,353,290,643,0.15384615384615385,0.8215297450424929
71,1768,72,sleepyhollow-drc,dutch reformed,0.007375054987476322,0.493,0.0,0.0,-0.08762351668935708,69,11,361,307,668,0.15942028985507245,0.850415512465374
72,1769,73,sleepyhollow-drc,dutch reformed,0.007710554821724842,0.491,0.01,0.02,-0.0893147871132317,62,9,355,307,662,0.14516129032258066,0.8647887323943662
73,1770,74,sleepyhollow-drc,dutch reformed,0.008065508332080218,0.509,0.0,0.06,-0.10076246472386756,56,10,347,316,663,0.17857142857142858,0.9106628242074928
74,1771,75,sleepyhollow-drc,dutch reformed,0.008020212490282456,0.54,0.0,0.02,-0.10808794503656988,59,7,351,330,681,0.11864406779661017,0.9401709401709402
75,1772,76,sleepyhollow-drc,dutch reformed,0.008168224929962534,0.55,0.0,0.05,-0.11394215609467474,53,7,350,339,689,0.1320754716981132,0.9685714285714285
76,1773,77,sleepyhollow-drc,dutch reformed,0.008129981606376456,0.532,0.0,0.01,-0.12387907783258079,54,8,355,345,700,0.14814814814814814,0.971830985915493
77,1774,78,sleepyhollow-drc,dutch reformed,0.008331141976046473,0.547,0.0,0.06,-0.13408600365266446,51,11,358,351,709,0.21568627450980393,0.9804469273743017
78,1775,79,sleepyhollow-drc,dutch reformed,0.008279513295246291,0.571,0.02,0.08,-0.14944513422480746,47,13,364,358,722,0.2765957446808511,0.9835164835164835
79,1776,80,sleepyhollow-drc,dutch reformed,0.008391608391608392,0.57,0.0,0.02,-0.16107905979186193,43,16,360,356,716,0.37209302325581395,0.9888888888888889
80,1777,81,sleepyhollow-drc,dutch reformed,0.008426280697812266,0.565,0.0,0.0,-0.17848448460619007,41,17,356,363,719,0.4146341463414634,1.0196629213483146
81,1778,82,sleepyhollow-drc,dutch reformed,0.008445818280756382,0.58,0.0,0.03,-0.18564810461625697,39,18,359,369,728,0.46153846153846156,1.0278551532033426
82,1779,83,sleepyhollow-drc,dutch reformed,0.008550793891291089,0.595,0.0,0.0,-0.19147207635180144,35,17,349,369,718,0.4857142857142857,1.0573065902578798
83,1780,84,sleepyhollow-drc,dutch reformed,0.008435892550962089,0.608,0.0,0.02,-0.2053774104683194,29,19,348,377,725,0.6551724137931034,1.0833333333333333
84,1781,85,sleepyhollow-drc,dutch reformed,0.008586868323532119,0.589,0.0,0.0,-0.19967606639025015,30,18,339,353,692,0.6,1.0412979351032448
85,1782,86,sleepyhollow-drc,dutch reformed,0.00862157172409191,0.595,0.0,0.0,-0.20270876753740547,33,23,329,342,671,0.696969696969697,1.0395136778115501
86,1783,87,sleepyhollow-drc,dutch reformed,0.00893546827734338,0.584,0.0,0.0,-0.2039064714468088,31,20,309,325,634,0.6451612903225806,1.051779935275081
87,1784,88,sleepyhollow-drc,dutch reformed,0.008897973603855957,0.568,0.0,0.02,-0.21653513910166464,29,19,310,320,630,0.6551724137931034,1.032258064516129
88,1785,89,sleepyhollow-drc,dutch reformed,0.008765657689150181,0.612,0.0,0.0,-0.21973613330289865,32,21,302,313,615,0.65625,1.0364238410596027
89,1786,90,sleepyhollow-drc,dutch reformed,0.009056917324470296,0.612,0.0,0.0,-0.22465385719171097,32,21,285,296,581,0.65625,1.03859649122807
90,1787,91,sleepyhollow-drc,dutch reformed,0.00907382202346231,0.593,0.0,0.0,-0.23045765491348555,31,23,272,284,556,0.7419354838709677,1.0441176470588236
91,1788,92,sleepyhollow-drc,dutch reformed,0.009296223673630605,0.602,0.0,0.0,-0.23096500627921143,30,22,262,271,533,0.7333333333333333,1.034351145038168
92,1789,93,sleepyhollow-drc,dutch reformed,0.009542297167715227,0.577,0.0,0.0,-0.23883000456653924,31,24,248,259,507,0.7741935483870968,1.0443548387096775
93,1790,94,sleepyhollow-drc,dutch reformed,0.009523809523809525,0.597,0.0,0.01,-0.24996907854050698,32,23,237,253,490,0.71875,1.0675105485232068
94,1791,95,sleepyhollow-drc,dutch reformed,0.009672178869575833,0.57,0.0,0.0,-0.2605375580679438,32,20,220,242,462,0.625,1.1
95,1792,96,sleepyhollow-drc,dutch reformed,0.009811893532823765,0.544,0.0,0.0,-0.268956049324813,32,22,207,223,430,0.6875,1.077294685990338
